"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_E01","CO_E02","CO_E03","CO_E04","CO_E05","CO_E06","CO_E07","Basicweight"
12,11,1,2,2,1,1,1,"Ibigo by!amashuri y!incuke",1,,2017,1,1,30.805986784141
12,11,1,2,2,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,6,,,,30.805986784141
12,11,1,2,2,1,1,12,"Amashami ya Banki",0,6,,,,30.805986784141
12,11,1,2,2,1,1,13,"Ibigo by!imari iciriritse",0,6,,,,30.805986784141
12,11,1,2,2,1,1,6,"Amavuriro y!igenga",0,0,,,,30.805986784141
12,11,1,2,2,1,1,11,"Amakusanyirizo y!amata",0,6,,,,30.805986784141
12,11,1,2,2,1,1,9,"Ibitaro",0,11,,,,30.805986784141
12,11,1,2,2,1,1,14,"Poste ya polisi",0,6,,,,30.805986784141
12,11,1,2,2,1,1,15,"Ibiro by!iposita",0,11,,,,30.805986784141
13,12,1,2,2,1,1,20,"Aho basharija/bakora telefoni",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,12,"Amashami ya Banki",0,3,,,,13.4902167539267
13,12,1,2,2,1,1,2,"Ibigo by!amashuri yibanza",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,16,"Aho abantu babonera Internet",0,2,,,,13.4902167539267
13,12,1,2,2,1,1,15,"Ibiro by!iposita",0,6,,,,13.4902167539267
13,12,1,2,2,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,2,,,,13.4902167539267
13,12,1,2,2,1,1,13,"Ibigo by!imari iciriritse",4,,888,1,1,13.4902167539267
13,12,1,2,2,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,13.4902167539267
13,12,1,2,2,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,3,,,,13.4902167539267
13,12,1,2,2,1,1,1,"Ibigo by!amashuri y!incuke",3,,2014,1,1,13.4902167539267
13,12,1,2,2,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,5,,,,13.4902167539267
13,12,1,2,2,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,2,,,,13.4902167539267
13,12,1,2,2,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,14,"Poste ya polisi",0,4,,,,13.4902167539267
13,12,1,2,2,1,1,3,"Ibigo by!amashuri yisumbuye",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,8,"Poste de sante cg Farumasi",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,6,"Amavuriro y!igenga",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,9,"Ibitaro",0,4,,,,13.4902167539267
13,12,1,2,2,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,4,,,,13.4902167539267
13,12,1,2,2,1,1,10,"Amasoko",0,4,,,,13.4902167539267
13,12,1,2,2,1,1,11,"Amakusanyirizo y!amata",0,3,,,,13.4902167539267
13,12,1,2,2,1,1,5,"Aho bategera Bus",0,1,,,,13.4902167539267
13,12,1,2,2,1,1,22,"Kiliziya/Umusigiti/Urusengero",1,,888,1,1,13.4902167539267
14,13,1,2,1,1,2,6,"Amavuriro y!igenga",0,1,,,,27.6634577777778
14,13,1,2,1,1,2,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,12,,,,27.6634577777778
14,13,1,2,1,1,2,13,"Ibigo by!imari iciriritse",0,2,,,,27.6634577777778
14,13,1,2,1,1,2,22,"Kiliziya/Umusigiti/Urusengero",0,0,,,,27.6634577777778
