"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","F11","F12","F13","F14","F15","F16","hhid","camp","ref_weight"
1,12,13,2,10,1,736.1804,5,0,,,,,121301001,,
1,12,13,2,11,1,736.1804,3,0,,,,,121301101,,
1,12,13,2,12,1,736.1804,3,0,,,,,121301201,,
1,12,13,2,13,1,13.4902167539267,6,0,,,,,121301301,,
1,12,13,2,14,1,736.1804,5,0,,,,,121301401,,
1,12,13,2,15,1,736.1804,5,0,,,,,121301501,,
1,12,13,2,16,1,736.1804,1,0,,,,,121301601,,
1,12,13,2,17,1,736.1804,6,0,,,,,121301701,,
1,12,13,2,18,1,736.1804,5,0,,,,,121301801,,
1,12,14,1,1,1,219.6804,4,0,,,,,121400101,,
1,12,14,1,2,1,219.6804,2,0,,,,,121400201,,
1,12,14,1,3,1,219.6804,3,0,,,,,121400301,,
1,12,14,1,4,1,219.6804,4,0,,,,,121400401,,
1,12,14,1,5,1,219.6804,6,0,,,,,121400501,,
1,12,14,1,6,1,219.6804,1,0,,,,,121400601,,
1,12,14,1,7,1,219.6804,1,0,,,,,121400701,,
1,12,14,1,8,1,219.6804,7,0,,,,,121400801,,
1,12,14,1,9,1,219.6804,3,0,,,,,121400901,,
1,12,14,1,10,1,219.6804,5,0,,,,,121401001,,
1,12,14,1,11,1,219.6804,7,0,,,,,121401101,,
1,12,14,1,12,1,219.6804,2,0,,,,,121401201,,
1,12,14,1,13,1,221.307662222222,7,0,,,,,121401301,,
1,12,14,1,14,1,219.6804,1,0,,,,,121401401,,
1,12,14,1,15,1,219.6804,7,0,,,,,121401501,,
1,12,14,1,16,1,219.6804,6,0,,,,,121401601,,
1,12,14,1,17,1,219.6804,3,0,,,,,121401701,,
1,12,14,1,18,1,219.6804,7,0,,,,,121401801,,
1,12,15,1,1,1,20.4148122137405,1,0,,,,,121500101,,
1,12,15,1,2,1,20.4148122137405,3,0,,,,,121500201,,
1,12,15,1,3,1,668.5851,5,0,,,,,121500301,,
1,12,15,1,4,1,668.5851,6,0,,,,,121500401,,
1,12,15,1,5,1,668.5851,5,0,,,,,121500501,,
1,12,15,1,6,1,668.5851,3,0,,,,,121500601,,
1,12,15,1,8,1,668.5851,2,0,,,,,121500801,,
1,12,15,1,9,1,668.5851,5,0,,,,,121500901,,
1,12,15,1,10,1,668.5851,6,0,,,,,121501001,,
1,12,15,1,11,1,668.5851,6,0,,,,,121501101,,
1,12,15,1,12,1,668.5851,7,0,,,,,121501201,,
1,12,15,1,13,1,668.5851,6,0,,,,,121501301,,
1,12,15,1,14,1,668.5851,5,0,,,,,121501401,,
1,12,15,1,15,1,668.5851,5,0,,,,,121501501,,
1,12,15,1,16,1,668.5851,2,0,,,,,121501601,,
1,12,15,1,17,1,668.5851,6,0,,,,,121501701,,
1,12,15,1,18,1,668.5851,4,0,,,,,121501801,,
1,12,15,1,19,1,668.5851,5,0,,,,,121501901,,
1,12,16,1,1,1,22.51949375,3,0,,,,,121600101,,
1,12,16,1,2,1,22.51949375,5,0,,,,,121600201,,
1,12,16,1,3,1,22.51949375,5,0,,,,,121600301,,
1,12,16,1,4,1,22.51949375,5,0,,,,,121600401,,
1,12,16,1,5,1,443.4608,2,0,,,,,121600501,,
1,12,16,1,6,1,443.4608,1,0,,,,,121600601,,
1,12,16,1,7,1,443.4608,3,0,,,,,121600701,,
1,12,16,1,8,1,443.4608,5,0,,,,,121600801,,
1,12,16,1,9,1,443.4608,6,0,,,,,121600901,,
1,12,16,1,10,1,443.4608,6,0,,,,,121601001,,
1,12,16,1,11,1,443.4608,5,0,,,,,121601101,,
1,12,16,1,12,1,22.51949375,6,0,,,,,121601201,,
1,12,16,1,13,1,443.4608,1,0,,,,,121601301,,
1,12,16,1,14,1,443.4608,1,0,,,,,121601401,,
1,12,16,1,15,1,443.4608,2,0,,,,,121601501,,
1,12,16,1,16,1,443.4608,5,0,,,,,121601601,,
1,12,16,1,17,1,443.4608,4,0,,,,,121601701,,
1,12,16,1,18,1,443.4608,2,0,,,,,121601801,,
1,12,17,1,1,1,7.15809113268609,7,0,,,,,121700101,,
1,12,17,1,2,1,85.07116,5,0,,,,,121700201,,
1,12,17,1,3,1,7.15809113268609,6,0,,,,,121700301,,
1,12,17,1,4,1,7.15809113268609,1,1,5,1,100,,121700401,,
1,12,17,1,5,1,7.15809113268609,6,0,,,,,121700501,,
