"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_F01","CO_F01_YON","CO_F02","CO_F02B","CO_F02_OTHER","CO_F03","CO_F04","CO_F05","CO_F06","Basicweight"
18,17,1,2,2,1,1,7,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,8,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,13,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,5,1,5,8,,1300,1,1200,1270,41.0282164502164
18,17,1,2,2,1,1,12,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,4,1,3,,,250,0,,,41.0282164502164
18,17,1,2,2,1,1,6,1,8,888,,11000,1,10000,11000,41.0282164502164
18,17,1,2,2,1,1,10,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,2,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,1,1,1,,,1200,1,1000,1200,41.0282164502164
18,17,1,2,2,1,1,3,1,4,,,888,0,,,41.0282164502164
18,17,1,2,2,1,1,11,0,,,,,,,,41.0282164502164
18,17,1,2,2,1,1,9,0,,,,,,,,41.0282164502164
19,18,1,2,1,1,1,4,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,12,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,1,1,1,,,1625,1,1450,1550,19.94468875
19,18,1,2,1,1,1,7,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,6,1,1,,,400,1,340,390,19.94468875
19,18,1,2,1,1,1,2,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,9,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,11,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,5,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,13,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,8,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,10,0,,,,,,,,19.94468875
19,18,1,2,1,1,1,3,1,4,,,888,0,,,19.94468875
20,19,1,2,2,1,1,6,1,1,,,350,1,290,340,39.7495568493151
20,19,1,2,2,1,1,11,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,7,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,1,1,1,,,1250,1,1200,1300,39.7495568493151
20,19,1,2,2,1,1,8,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,13,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,9,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,3,1,4,,,888,0,,,39.7495568493151
20,19,1,2,2,1,1,5,1,5,7,,1170,1,1100,1150,39.7495568493151
20,19,1,2,2,1,1,4,1,3,,,200,0,,,39.7495568493151
20,19,1,2,2,1,1,12,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,2,0,,,,,,,,39.7495568493151
20,19,1,2,2,1,1,10,0,,,,,,,,39.7495568493151
21,20,1,2,1,1,1,5,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,12,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,1,1,1,,,1700,1,1400,1500,92.4598432989691
21,20,1,2,1,1,1,10,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,11,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,3,1,4,,,888,0,,,92.4598432989691
21,20,1,2,1,1,1,9,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,2,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,13,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,7,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,8,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,6,0,,,,,,,,92.4598432989691
21,20,1,2,1,1,1,4,0,,,,,,,,92.4598432989691
22,21,1,2,1,1,1,3,1,4,,,888,0,,,9.87333272727273
22,21,1,2,1,1,1,11,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,9,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,5,1,555,0,8,0,0,,,9.87333272727273
22,21,1,2,1,1,1,6,1,8,35,,12000,1,11000,12000,9.87333272727273
22,21,1,2,1,1,1,1,1,1,,,1500,1,1250,1300,9.87333272727273
22,21,1,2,1,1,1,4,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,13,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,7,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,8,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,12,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,2,0,,,,,,,,9.87333272727273
22,21,1,2,1,1,1,10,0,,,,,,,,9.87333272727273
23,22,1,2,1,1,1,8,0,,,,,,,,15.03859
23,22,1,2,1,1,1,11,0,,,,,,,,15.03859
23,22,1,2,1,1,1,6,1,8,33,,12000,1,10000,10500,15.03859
23,22,1,2,1,1,1,7,0,,,,,,,,15.03859
23,22,1,2,1,1,1,9,0,,,,,,,,15.03859
23,22,1,2,1,1,1,4,0,,,,,,,,15.03859
23,22,1,2,1,1,1,3,1,4,,,888,0,,,15.03859
