"Cluster","HL_ID","CI01","CI02","CI06","CI07","CI08","HL_B01","HL_B02","HL_B04","HL_B05","HL_B06","HL_B07","HL_B08","HL_B11","HL_B12","HL_B13","HL_B14A","HL_B14B","HL_B15A","HL_B15","HL_B16A","HL_B16B","HL_B17A","HL_B17B","HL_B18","HL_B19","HL_B20","HL_B21","HL_B22","HL_B23","HL_B24","HL_B25","HL_B26","HL_B26_UNITY","HL_B27","HL_B28A","HL_B28B","HL_B29","HL_B30","HL_B31A","HL_B31B","HL_B32","HL_B33_1","HL_B33_2","HL_B33_3","HL_B34","HL_B35","HL_B36","HL_B37","HL_B38","HL_B39","HL_B40","HL_B41","HL_B42","HL_B43","HL_B44","HL_B45","HL_B46","HL_B47","HL_B48","HL_B49","HL_B50","HL_B51","HL_B52A","HL_B52B","HL_B53","HL_B54","HL_B55","HL_B56","HL_B57","HL_B58","HL_B59","HL_B60","HL_B61A","HL_B61B","HL_B61C","HL_B61D","HL_B62A","HL_B62B","HL_B62C","HL_B62D","HL_B63A","HL_B63B","HL_B63C","HL_B63D","HL_B64A","HL_B64B","HL_B64C","HL_B64D","HL_B65A","HL_B65B","HL_B65C","HL_B65D","HL_B66A","HL_B66B","HL_B66C","HL_B66D","HL_B67A","HL_B67B","HL_B67C","HL_B67D","HL_B68A","HL_B68B","HL_B68C","HL_B68D","HL_B69A","HL_B69B","HL_B69C","HL_B69D","HL_B70A","HL_B70B","HL_B70C","HL_B70D","HL_B71A","HL_B71B","HL_B71C","HL_B71D","HL_B72A","HL_B72B","HL_B72C","HL_B72D","HL_B73A","HL_B73B","HL_B73C","HL_B73D","HL_B74A","HL_B74B","HL_B74C","HL_B74D","HL_B75A","HL_B75B","HL_B75C","HL_B75D","HL_B76A","HL_B76B","HL_B76C","HL_B76D","HL_B77A","HL_B77B","HL_B77C","HL_B77D","HL_B78A","HL_B78B","HL_B78C","HL_B78D","HL_B79A","HL_B79B","HL_B79C","HL_B79D","HL_B80A","HL_B80B","HL_B80C","HL_B80D","HL_B81A","HL_B81B","HL_B81C","HL_B81D","HL_B82A","HL_B82B","HL_B82C","HL_B82D","HL_B83A","HL_B83B","HL_B83C","HL_B83D","HL_B84A","HL_B84B","HL_B84C","HL_B84D","HL_B85A","HL_B85B","HL_B85C","HL_B85D","HL_B86A","HL_B86B","HL_B86C","HL_B86D","HL_B87A","HL_B87B","HL_B87C","HL_B87D","HL_B88A","HL_B88B","HL_B88C","HL_B88D","HL_B89A","HL_B89B","HL_B89C","HL_B89D","HL_B90A","HL_B90B","HL_B90C","HL_B90D","HL_B91A","HL_B91B","HL_B91C","HL_B91D","HL_B92A","HL_B92B","HL_B92C","HL_B92D","HL_B93A","HL_B93B","HL_B93C","HL_B93D","HL_B94_01","HL_B94_02","HL_B94_03","HL_B94_04","HL_B94_05","HL_B94_06","HL_B94_07","HL_B94_08","HL_B94_09","HL_B94_10","HL_B94_11","HL_B94_12","HL_B94_13","HL_B94_14","HL_B94_15","HL_B94_16","HL_B94_17","HL_B94_18","HL_B94_19","HL_B94_20","HL_B94_21","HL_B94_22","HL_B94_23","HL_B94_24","HL_B94_25","HL_B94_26","HL_B94_27","HL_B94_28","HL_B94_29","HL_B94_30","HL_B94_31","HL_B94_32","HL_B94_33","HL_B95","HL_B95_OTHER","HL_B96","HL_B97","Basicweight"
130,58,2,8,1,3,1,"13:23","07/06/2022",1,6,3,5,,1,1,20,80,17,12,1,,,,,1,,1,24,0,,1,2,2,1,0,1,900000,1,150000,300,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,5,1,44,2,1,0,,,,1,3,2,0,0,,,,1,1,2,0,0,,,,1,21,3,1,1,8,2,0,1,5,3,0,0,,,,0,,,,0,,,,1,2,2,0,0,,,,0,,,,1,31,2,0,0,,,,1,5,2,0,1,2,3,0,0,,,,1,2,3,0,1,2,3,0,1,2,2,1,1,1,3,0,0,,,,0,,,,1,3,3,1,0,,,,0,,,,0,,,,0,,,,1,1,2,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,555,"Replacement",1,"14:47",9.81552
131,59,2,8,2,3,1,"16:18","07/06/2022",2,6,6,5,,1,1,23,100,18,12,1,,,,,1,,1,22,1,2,1,2,1,1,0,1,450000,1,600000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,3,1,27,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,4,1,0,1,1,1,0,1,2,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,21,1,0,1,1,1,0,1,5,888,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"17:02",82.8797946428571
132,60,2,8,2,3,1,"12:24","07/06/2022",2,6,4,5,,1,1,30,1500,25,12,1,,,,,1,,1,24,0,,1,3,10,2,0,1,1200000,1,750000,175,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,1,25,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,16,3,0,1,2,2,0,0,,,,0,,,,0,,,,0,,,,1,2,2,0,0,,,,0,,,,1,17,2,0,0,,,,1,2,888,0,0,,,,0,,,,1,2,3,0,1,1,2,0,0,,,,0,,,,0,,,,0,,,,1,1,3,0,1,30,3,0,0,,,,0,,,,0,,,,1,3,3,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"12:46",95.6783076923077
134,61,2,8,1,3,1,"14:19","07/06/2022",2,6,2,5,,1,3,30,300,10,12,1,,,,,1,,1,21,1,3,1,3,1,1,0,1,499980,1,900000,331,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,3,1,55,1,0,1,20,1,0,0,,,,1,5,1,0,0,,,,0,,,,1,7,1,0,1,1,3,1,1,1,3,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,4,1,0,0,,,,0,,,,1,1,1,0,0,,,,1,1,1,0,1,1,3,0,0,,,,0,,,,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,555,"donation",0,"14:52",5.43553831877729
137,62,3,1,1,3,1,"09:33","23/06/2022",1,6,3,5,,1,1,24,95,20,12,1,,,,,1,,1,24,0,,1,0,,2,,1,300000,2,450000,300,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,0,,,,1,99,1,0,0,,,,0,,,,0,,,,0,,,,1,11,1,0,1,1,1,0,1,4,3,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,6,888,0,0,,,,0,,,,1,2,1,0,1,1,1,0,1,2,1,1,1,1,1,0,1,1,3,0,1,3,3,0,1,1,3,0,1,20,3,1,0,,,,0,,,,0,,,,1,1,888,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,555,"Don't know",1,"10:06",23.9924330935252
143,63,3,1,2,3,1,"10:47","22/06/2022",1,6,4,2,,1,3,24,40,20,12,1,,,,,1,,1,24,1,3,1,2,1,1,0,1,180000,2,1200000,300,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,0,,3,1,25,1,0,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,16,1,0,1,3,1,0,1,3,1,0,1,1,1,0,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,4,888,0,0,,,,0,,,,1,2,3,0,1,1,1,0,1,1,1,0,1,1,3,0,1,1,3,0,0,,,,1,1,3,0,1,1,1,1,0,,,,0,,,,0,,,,1,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,555,"Don't know",0,"11:34",129.616023809524
145,64,3,1,2,3,1,"08:33","24/06/2022",1,6,4,5,,1,3,50,180,46,12,1,,,,,1,,1,24,0,,1,0,,2,,1,150000,2,600000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,60,1,0,1,45,1,0,0,,,,0,,,,1,2,1,0,1,1,1,0,1,24,1,0,1,5,1,0,1,3,3,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,6,3,0,0,,,,0,,,,1,3,1,0,1,1,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,1,1,3,0,1,50,3,1,0,,,,0,,,,0,,,,1,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,555,"It is planned",1,"08:35",143.114677419355
159,65,3,2,2,3,3,"16:02","22/06/2022",1,6,3,1,,1,3,49,100,45,12,1,,,,,1,,1,24,0,,1,1,1,1,0,1,199980,1,150000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,5,0,,,,1,15,1,0,0,,,,1,25,1,0,1,2,1,1,1,1,1,1,1,10,1,1,1,4,1,1,1,1,1,1,0,,,,0,,,,0,,,,1,2,1,1,0,,,,0,,,,0,,,,0,,,,1,4,3,1,1,1,1,1,0,,,,1,3,1,1,0,,,,1,1,1,1,0,,,,0,,,,0,,,,1,1,3,1,1,1,1,1,0,,,,0,,,,0,,,,1,4,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,1,,,,,1,1,,1,,1,,,,1,1,,,,1,1,555,"It is planned",1,"16:46",112.320421052632
160,66,3,2,2,3,1,"15:42","21/06/2022",1,6,4,5,,1,1,26,50,25,12,1,,,,,1,,1,24,0,,1,2,1,1,0,1,199980,1,1200000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,5,0,,,,0,,,,0,,,,1,60,1,0,1,3,1,0,0,,,,1,4,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,1,50,1,0,0,,,,1,2,888,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,1,2,1,0,1,3,1,0,1,3,1,0,0,,,,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"16:04",147.572481927711
161,67,3,2,2,3,1,"12:52","24/06/2022",1,6,4,1,,1,1,35,300,26,12,1,,,,,1,,1,24,1,2,1,0,,2,,1,1200000,1,900000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,3,0,,,,1,6,1,0,0,,,,1,80,1,0,1,2,1,0,0,,,,1,20,1,0,1,2,1,0,1,2,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,90,1,0,0,,,,1,4,3,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,1,2,1,0,0,,,,0,,,,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"13:19",165.54155
162,68,3,3,2,3,4,"10:01","23/06/2022",2,6,4,5,,1,1,19,50,12,12,1,,,,,1,,1,24,0,,1,0,,2,,1,900000,1,600000,220,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,1,3,7,0,,,,1,10,1,1,0,,,,1,15,1,1,1,3,1,1,0,,,,1,10,1,1,1,2,1,1,1,3,1,1,0,,,,0,,,,0,,,,1,1,1,1,0,,,,0,,,,0,,,,0,,,,1,8,3,1,1,1,1,1,0,,,,1,2,1,1,1,1,1,1,1,1,1,1,0,,,,0,,,,0,,,,1,5,2,0,0,,,,0,,,,0,,,,0,,,,1,1,1,1,0,,,,,1,,1,1,,1,1,1,,,,1,,,,,1,1,,1,1,1,,,,,,,,,1,,555,"Don't know",1,"10:37",184.221032258065
163,69,3,3,1,3,2,"09:24","22/06/2022",1,6,4,5,,1,1,32,100,14,12,1,,,,,1,,1,24,0,,1,3,2,1,0,1,180000,1,420000,292,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,1,3,3,0,,,,1,15,1,0,0,,,,1,20,1,0,1,3,1,0,0,,,,1,12,1,0,1,3,1,0,1,6,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,3,0,1,2,1,1,0,,,,1,2,1,1,1,1,1,1,1,3,1,0,0,,,,1,1,3,0,0,,,,1,3,3,1,1,1,1,1,0,,,,1,1,1,1,0,,,,1,10,888,0,0,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,1,,1,,,,2," ",1,"09:56",17.2384463414634
167,70,3,3,2,3,1,"17:33","21/06/2022",2,6,3,1,,1,1,31,70,14,12,1,,,,,1,,1,22,1,2,1,2,2,1,0,3,180000,1,450000,220,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,3,0,,,,0,,,,0,,,,1,67,1,0,1,1,1,1,0,,,,1,7,1,0,1,2,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,5,888,0,1,1,1,0,0,,,,1,1,1,0,1,1,1,0,1,1,1,0,0,,,,1,5,2,0,0,,,,1,1,2,0,0,,,,0,,,,0,,,,0,,,,1,1,888,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,"It is planned",0,"17:36",121.961137254902
168,71,3,3,1,3,1,"08:16","20/06/2022",1,6,4,4,,1,1,25,90,24,12,1,,,,,1,,1,24,1,1,1,4,2,1,0,1,210000,1,450000,227,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,3,0,,,,1,28,1,0,1,40,1,1,0,,,,1,2,1,0,0,,,,1,12,1,1,1,2,1,0,1,3,1,1,0,,,,1,1,1,0,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,7,888,0,1,2,1,0,0,,,,1,3,1,0,1,1,1,0,1,2,1,0,0,,,,1,4,2,0,0,,,,1,2,2,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,555,"It is planned",0,"08:48",7.21586578366446
169,72,3,3,1,3,1,"10:14","22/06/2022",1,6,4,5,,1,1,23,125,26,12,1,,,,,1,,1,24,0,,1,1,10,2,0,1,249990,1,750000,250,1,1,,,,,,,,,,,,,,,,,,,,,,1,4,0,0,,,,1,3,7,1,10,2,0,1,15,2,0,0,,,,1,2,1,0,1,2,2,0,0,,,,1,14,2,0,1,5,1,1,1,2,888,0,1,4,1,0,0,,,,0,,,,1,1,2,0,0,,,,0,,,,0,,,,0,,,,1,3,2,0,0,,,,1,3,2,0,1,2,1,0,0,,,,1,4,2,0,1,3,2,0,0,,,,1,2,1,0,1,4,2,0,0,,,,0,,,,0,,,,0,,,,1,2,2,0,1,1,2,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,555,"It's not planned",1,"11:01",22.0445028571429
170,73,3,3,2,3,1,"10:26","21/06/2022",2,6,4,4,,1,3,29,100,33,12,1,,,,,1,,1,24,0,,1,1,30,2,0,1,1500000,1,450000,300,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,0,,7,0,,,,1,40,1,1,1,20,1,0,0,,,,1,2,1,0,0,,,,1,12,1,0,1,4,1,0,1,5,2,0,0,,,,0,,,,0,,,,1,2,2,0,0,,,,0,,,,1,40,1,0,0,,,,1,5,2,0,1,2,2,0,0,,,,1,1,2,0,0,,,,1,1,2,0,0,,,,1,5,2,1,1,5,2,1,1,1,2,0,1,2,2,0,0,,,,0,,,,0,,,,1,1,2,0,1,1,2,0,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2," ",1,"11:31",137.508
172,74,3,3,1,3,1,"16:45","17/06/2022",1,6,3,1,,1,1,33,150,12,12,1,,,,,1,,1,24,0,,1,0,,2,,1,402000,1,900000,320,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,0,,,,0,,,,1,48,1,0,1,1,1,0,0,,,,1,6,1,0,1,4,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,9,888,0,1,1,1,0,0,,,,1,1,1,0,1,1,1,0,1,2,1,0,0,,,,1,5,2,0,1,1,1,0,1,2,2,0,0,,,,0,,,,0,,,,0,,,,1,1,888,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"17:08",8.8548862745098
176,75,3,4,1,3,1,"08:55","20/06/2022",1,6,3,4,,1,1,16,16,11,12,1,,,,,1,,1,24,0,,1,3,60,2,0,1,300000,1,1200000,250,1,0,,,,,,,,,,,,,,,,,,,,,,1,4,0,0,,,,0,,7,0,,,,1,6,1,0,0,,,,0,,,,0,,,,0,,,,1,5,1,0,0,,,,1,1,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,1,35,1,0,0,,,,1,6,3,0,1,1,1,0,0,,,,1,2,1,0,1,3,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,2,2,0,0,,,,0,,,,0,,,,0,,,,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"09:26",25.1660547945205
177,76,3,4,2,3,1,"13:57","13/06/2022",1,6,4,4,,1,1,32,50,12,12,1,,,,,1,,1,24,1,1,1,1,1,1,0,1,900000,1,150000,213,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,5,0,,,,1,20,2,0,0,,,,1,50,2,0,0,,,,0,,,,1,6,2,0,1,2,2,0,1,4,3,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,0,,,,0,,,,0,,,,1,4,888,0,0,,,,0,,,,1,2,2,0,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:28",113.6677875
180,77,3,4,1,3,1,"08:38","14/06/2022",1,6,4,4,,1,1,40,60,25,12,1,,,,,1,,1,24,1,2,1,1,1,1,0,1,900000,1,180000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,3,3,0,,,,0,,,,1,68,2,0,0,,,,1,1,2,1,1,1,2,0,1,18,2,0,1,3,2,0,1,6,3,0,0,,,,0,,,,0,,,,1,1,2,0,0,,,,0,,,,0,,,,0,,,,1,8,3,0,1,3,2,0,0,,,,1,3,2,0,1,1,2,0,1,3,2,0,0,,,,0,,,,0,,,,1,2,3,0,0,,,,0,,,,0,,,,0,,,,1,4,2,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,"in plan",1,"09:12",24.0643146067416
181,78,3,4,2,3,1,"17:10","15/06/2022",1,7,2,1,,1,1,25,67,34,12,1,,,,,1,,1,24,0,,1,2,30,2,0,1,240000,1,150000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,1,70,1,0,0,,,,1,30,1,0,1,1,1,0,0,,,,1,10,1,0,1,2,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,1,888,0,0,,,,0,,,,1,11,1,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,0,,,,1,5,1,1,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,555,"in plan",1,"17:01",175.267767857143
182,79,3,5,2,3,1,"08:47","14/06/2022",1,6,4,4,,2,1,140,70,138,12,1,,,,,1,,1,24,1,3,1,7,1,1,0,1,2250000,1,1500000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,3,0,,,,1,50,888,0,0,,,,1,30,888,0,1,2,888,0,1,2,888,0,1,70,888,0,1,13,888,0,1,3,888,0,1,6,888,0,0,,,,0,,,,1,6,888,0,1,2,888,0,1,1,888,0,1,50,888,0,0,,,,1,5,888,0,1,5,888,0,1,1,888,0,1,5,888,0,1,3,888,0,1,4,888,0,1,2,888,0,1,3,888,0,0,,,,1,2,888,0,1,1,888,0,1,1,888,0,1,3,888,0,1,2,888,0,1,1,888,0,1,2,888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"09:24",166.146574074074
183,80,3,5,2,3,1,"15:52","15/06/2022",2,4,8,1,,1,1,31,120,25,12,1,,,,,1,,1,24,0,,1,0,,2,,1,210000,1,900000,243,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,0,,,,0,,,,1,50,1,1,1,1,1,1,0,,,,1,15,1,1,0,,,,1,2,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,1,0,1,2,1,0,0,,,,1,2,1,0,0,,,,1,3,1,0,0,,,,1,4,3,1,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2," ",1,"16:27",142.1882875
184,81,3,5,2,3,1,"15:55","13/06/2022",2,3,12,1,,1,1,100,100,30,12,1,,,,,1,,1,24,0,,1,0,,2,,1,300000,1,1200000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,0,,,,0,,,,0,,,,0,,,,1,3,2,0,0,,,,1,8,3,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,10,2,1,1,1,3,1,0,,,,1,1,2,1,1,1,2,1,1,2,2,0,0,,,,0,,,,0,,,,1,2,2,0,1,30,3,0,0,,,,0,,,,0,,,,1,1,2,0,0,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,3," ",1,"16:17",132.641397129187
185,82,3,5,1,3,7,"09:16","16/06/2022",1,6,4,5,,1,3,36,100,15,12,1,,,,,1,,1,24,0,,1,1,15,2,0,1,450000,1,180000,220,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,0,,7,0,,,,1,6,1,0,1,26,1,1,0,,,,1,3,1,1,0,,,,1,22,1,1,1,3,1,1,1,6,1,1,0,,,,0,,,,0,,,,1,1,1,1,0,,,,0,,,,0,,,,0,,,,1,2,3,1,1,2,1,1,0,,,,1,5,1,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,0,,,,1,1,1,1,0,,,,0,,,,0,,,,0,,,,1,1,888,1,0,,,,,,1,,1,,1,1,1,,,,1,,,,,1,1,,1,1,1,,1,,1,,,,,1,,555,"Don't know",1,"09:47",6.94327538461538
186,83,3,5,2,3,3,"14:21","17/06/2022",2,6,4,1,,1,1,37,150,32,12,1,,,,,1,,1,21,1,3,1,2,1,1,0,1,150000,1,300000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,5,0,,,,1,5,1,0,0,,,,1,53,1,0,1,2,1,0,0,,,,1,12,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,1,52,1,0,1,2,888,0,1,2,1,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,1,4,1,0,0,,,,0,,,,1,5,1,0,1,10,1,0,0,,,,0,,,,0,,,,1,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"15:06",71.7433459770115
187,84,3,6,1,3,1,"12:48","13/06/2022",1,6,4,5,,1,3,42,230,28,12,1,,,,,1,,1,21,1,3,1,0,,2,,1,150000,1,150000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,,,0,,2,0,,,,0,,,,0,,,,1,10,1,0,0,,,,0,,,,1,20,1,0,1,2,1,0,1,2,1,0,0,,,,0,,,,0,,,,1,4,1,0,0,,,,0,,,,1,20,1,0,0,,,,1,3,888,0,1,1,1,0,0,,,,1,2,1,1,1,1,1,0,1,2,1,0,1,1,1,0,0,,,,1,6,1,0,1,2,1,1,0,,,,0,,,,0,,,,0,,,,1,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,3," ",0,"13:33",18.0034357798165
188,85,3,6,2,3,1,"13:35","14/06/2022",2,6,4,5,,1,3,30,80,23,12,1,,,,,1,,1,24,0,,1,0,,2,,1,180000,1,180000,307,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,0,,,,1,10,1,0,0,,,,0,,,,1,2,1,0,0,,,,1,10,3,0,1,4,1,1,1,3,3,0,0,,,,0,,,,0,,,,1,3,1,1,0,,,,0,,,,1,40,1,0,0,,,,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,1,1,1,0,1,2,1,0,0,,,,1,2,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,555,"No space",1,"14:05",130.290494845361
189,86,3,6,1,3,1,"12:59","17/06/2022",1,6,3,5,,2,1,45,24,64,12,1,,,,,1,,1,24,0,,1,2,30,2,0,1,1350000,1,1350000,307,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,3,2,0,,,,1,60,1,1,0,,,,1,40,1,0,1,1,1,1,0,,,,1,53,1,0,1,30,1,0,1,4,1,0,1,3,1,0,0,,,,0,,,,1,3,1,0,0,,,,1,1,2,0,0,,,,0,,,,1,5,1,0,1,2,1,0,1,1,1,0,1,3,1,0,1,3,1,0,1,1,1,0,1,2,1,0,1,2,1,0,1,2,1,0,1,2,1,0,1,2,1,0,1,1,1,0,1,12,1,0,1,1,1,0,1,5,2,0,0,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3," ",0,"13:42",16.2242746478873
192,87,3,6,1,3,1,"12:34","16/06/2022",1,6,3,5,,1,1,26,380,37,12,1,,,,,1,,1,22,1,3,1,3,30,2,0,1,600000,1,450000,207,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,2,0,,,,1,14,1,0,0,,,,0,,,,1,2,1,1,1,1,1,0,1,9,1,0,1,5,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,70,1,0,0,,,,1,6,888,0,1,1,1,0,0,,,,1,3,1,0,0,,,,1,1,1,0,1,1,1,0,0,,,,0,,,,1,1,2,0,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,"It is planned",1,"16:18",27.7581730263158
193,88,3,6,2,3,1,"15:48","16/06/2022",1,6,4,4,,1,1,27,80,20,12,1,,,,,1,,1,24,0,,1,1,2,1,0,1,750000,1,180000,307,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,7,0,,,,0,,,,0,,,,0,,,,1,1,2,0,0,,,,1,14,2,0,1,3,2,0,1,4,2,0,0,,,,0,,,,0,,,,1,2,2,0,0,,,,0,,,,1,25,2,0,0,,,,1,4,888,0,0,,,,0,,,,1,1,1,0,0,,,,0,,,,1,1,1,0,1,2,1,0,0,,,,1,2,1,0,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"15:40",233.912705882353
