"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
66,64,2,2,2,1,10,2,"09:50","16/06/2022",1,48,11,999,,4.40477818181818
67,65,2,2,2,1,10,2,"10:10","15/06/2022",1,40,3,999,,6.27120765957447
67,65,2,2,2,1,10,1,"10:07","15/06/2022",1,42,1,999,,6.27120765957447
68,66,2,2,2,1,10,1,"10:23","14/06/2022",2,53,1,7,,138.488
69,67,2,2,2,1,10,1,"13:59","14/06/2022",1,40,1,7,,6.55938214285714
69,67,2,2,2,1,10,2,"14:00","14/06/2022",2,49,4,999,,6.55938214285714
70,68,2,2,2,1,10,1,"10:41","21/06/2022",1,39,1,999,,5.97752774193548
71,69,2,2,2,1,10,1,"13:10","21/06/2022",1,43,1,999,,111.031052054795
79,70,2,3,1,1,1,1,"08:51","15/06/2022",1,45,1,999,,13.34441
79,70,2,3,1,1,1,3,"08:56","15/06/2022",2,44,2,999,,13.34441
79,70,2,3,1,1,1,2,"08:55","15/06/2022",1,33,3,999,,13.34441
80,71,2,3,2,1,2,3,"12:41","13/06/2022",1,28,11,999,,104.835668449198
80,71,2,3,2,1,2,1,"12:38","13/06/2022",1,34,1,999,,104.835668449198
80,71,2,3,2,1,2,2,"12:40","13/06/2022",1,30,3,999,,104.835668449198
81,72,2,3,2,1,1,1,"08:59","18/06/2022",1,41,1,999,,112.872822222222
81,72,2,3,2,1,1,2,"09:01","18/06/2022",1,39,3,999,,112.872822222222
81,72,2,3,2,1,1,3,"09:04","18/06/2022",2,44,4,999,,112.872822222222
82,73,2,3,2,1,1,3,"11:43","14/06/2022",2,45,4,999,,198.80024
82,73,2,3,2,1,1,1,"11:41","14/06/2022",1,41,1,999,,198.80024
82,73,2,3,2,1,1,2,"11:42","14/06/2022",1,30,3,999,,198.80024
83,74,2,4,2,1,1,5,"16:38","14/06/2022",2,46,6,999,,283.146722891566
83,74,2,4,2,1,1,1,"16:33","14/06/2022",1,35,1,999,,283.146722891566
83,74,2,4,2,1,1,4,"16:37","14/06/2022",1,34,4,999,,283.146722891566
83,74,2,4,2,1,1,2,"16:35","14/06/2022",1,34,3,999,,283.146722891566
83,74,2,4,2,1,1,3,"16:37","14/06/2022",1,60,2,999,,283.146722891566
83,74,2,4,2,1,1,6,"16:39","14/06/2022",2,41,4,999,,283.146722891566
84,75,2,4,2,1,1,1,"09:47","15/06/2022",1,55,1,999,,72.2506289308176
84,75,2,4,2,1,1,4,"09:49","15/06/2022",2,40,4,999,,72.2506289308176
84,75,2,4,2,1,1,5,"09:50","15/06/2022",1,37,2,999,,72.2506289308176
84,75,2,4,2,1,1,2,"09:48","15/06/2022",1,40,3,999,,72.2506289308176
84,75,2,4,2,1,1,3,"09:49","15/06/2022",2,54,2,999,,72.2506289308176
85,76,2,4,1,1,1,1,"12:13","18/06/2022",1,45,1,999,,18.0142465909091
85,76,2,4,1,1,1,2,"12:21","18/06/2022",2,35,3,999,,18.0142465909091
86,77,2,4,1,1,1,2,"14:16","20/06/2022",1,45,3,999,,18.0087829787234
86,77,2,4,1,1,1,3,"14:17","20/06/2022",2,35,2,999,,18.0087829787234
86,77,2,4,1,1,1,1,"14:15","20/06/2022",2,50,1,999,,18.0087829787234
87,78,2,4,2,1,1,1,"15:22","17/06/2022",1,43,1,999,,102.260069686411
87,78,2,4,2,1,1,5,"15:25","17/06/2022",1,30,4,999,,102.260069686411
87,78,2,4,2,1,1,3,"15:24","17/06/2022",2,52,2,999,,102.260069686411
87,78,2,4,2,1,1,4,"15:24","17/06/2022",2,46,11,999,,102.260069686411
87,78,2,4,2,1,1,2,"15:23","17/06/2022",1,37,3,999,,102.260069686411
88,79,2,4,1,1,1,2,"11:07","17/06/2022",1,42,3,999,,12.1381444776119
88,79,2,4,1,1,1,3,"11:08","17/06/2022",2,39,2,999,,12.1381444776119
88,79,2,4,1,1,1,1,"11:06","17/06/2022",1,40,1,999,,12.1381444776119
89,80,2,4,1,1,1,3,"10:51","16/06/2022",2,57,11,4,,15.4509974137931
89,80,2,4,1,1,1,2,"10:50","16/06/2022",1,38,3,999,,15.4509974137931
89,80,2,4,1,1,1,1,"10:48","16/06/2022",1,46,1,999,,15.4509974137931
89,80,2,4,1,1,1,4,"10:52","16/06/2022",2,28,2,999,,15.4509974137931
