"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","G01","G02","G02A","G02B","G28","G29","G30","G31","G32","G33","G34","G35A","G35B","G36A","G36B","G37A","G37B","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G48_AREA_OTHER","G49_SQUARE","G49_L","G49_W","G49_CERCLE","G50","G51","G52","G53","G54","G54_OTHER","G55_1","G55_2","G55_3","G55_4","G55_5","G55_6","G55_7","G55_8","G55_9","G55_10","G55_OTHER","hhid","camp","ref_weight"
1,11,6,1,2,1,504.2603,"01",30,1,1,,,,,,,,0,,0,,0,,4,888,1,888,1,1,888,888,0,,,,,,,,,,,,6,,,,,,,,,,,," ",110600201,,
1,11,6,1,3,1,504.2603,"02",120,1,2,,,,,,,,0,,1,4,0,,888,1,888,888,4,4,2,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110600301,,
1,11,6,1,4,1,504.2603,"01",90,1,2,,,,,,,,1,0,0,,0,,888,888,888,888,888,888,888,888,1,0,1,,3,,,,1,3,1,1,1,,,,,,,,,,,," ",110600401,,
1,11,6,1,5,1,504.2603,"02",120,1,2,,,,,,,,0,,1,4,0,,1,1,2,2,1,5,4,4,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110600501,,
1,11,6,1,6,1,504.2603,"01",180,1,2,,,,,,,,0,,0,,0,,2,888,2,888,888,2,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110600601,,
1,11,6,1,7,1,504.2603,"02",60,1,2,,,,,,,,1,888,1,3,0,,1,888,888,888,2,888,5,888,1,1,2,,,3,2,,1,2,1,1,1,,,,,,,,,,,," ",110600701,,
1,11,6,1,8,1,504.2603,"02",40,1,2,,,,,,,,0,,0,,1,0,2,2,4,4,2,4,4,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110600801,,
1,11,6,1,9,1,504.2603,"01",540,1,2,,,,,,,,0,,1,2,0,,1,1,1,4,4,888,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110600901,,
1,11,6,1,10,1,504.2603,"03",90,1,1,,,,,,,,0,,0,,0,,888,2,888,888,4,1,5,3,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110601001,,
1,11,6,1,11,1,504.2603,"02",120,1,1,,,,,,,,0,,1,2,0,,2,3,3,2,2,4,4,2,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110601101,,
