"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","A01","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A13_OTHER","A14","A15","A15_OTHER","A16","A17","A18","A19","A19_OTHER","A20","A22","A22B","A22B_OTHER","hhid","camp","ref_weight"
1,11,2,2,22,1,221.941,2,1,3,20,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110202201,,
1,11,3,2,1,1,179.50659375,1,2,1,53,1,1,1,1,7,1,1,," ",,," ",1,,,,,1,2,,,110300101,,
1,11,3,2,1,1,179.50659375,2,2,7,36,1,0,,1,7,1,1,," ",,," ",1,,,,,1,,,,110300101,,
1,11,3,2,1,1,179.50659375,7,2,4,1,0,,,,,,,," ",,," ",,,,,,,,,,110300101,,
1,11,3,2,1,1,179.50659375,4,2,4,10,1,1,1,0,,,,," ",,," ",,,,,,4,,,,110300101,,
1,11,3,2,1,1,179.50659375,6,1,4,3,0,,,,,,,," ",,," ",,,,,,,,,,110300101,,
1,11,3,2,1,1,179.50659375,3,2,3,20,1,1,2,1,7,1,1,," ",,," ",1,,,,,1,,,,110300101,,
1,11,3,2,1,1,179.50659375,5,1,4,5,1,0,,0,,,,," ",,," ",,,,,,,,,,110300101,,
1,11,3,2,2,1,179.50659375,2,2,4,11,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110300201,,
1,11,3,2,2,1,179.50659375,3,1,4,9,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110300201,,
1,11,3,2,2,1,179.50659375,4,1,4,6,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110300201,,
1,11,3,2,2,1,179.50659375,1,2,1,70,1,0,,1,8,1,1,," ",,," ",1,,,,,1,2,,,110300201,,
1,11,3,2,3,1,1566.603,2,2,7,67,1,0,,1,7,1,1,," ",,," ",1,,,,,1,,,,110300301,,
1,11,3,2,3,1,1566.603,1,2,1,70,1,0,,1,7,1,1,," ",,," ",1,,,,,1,2,,,110300301,,
1,11,3,2,4,1,179.50659375,1,1,1,46,1,1,1,1,2,1,1,," ",,," ",1,,,,,6,1,8,29,110300401,,
1,11,3,2,4,1,179.50659375,3,1,3,16,1,1,2,1,7,1,2,," ",,," ",1,,,,,6,,,,110300401,,
1,11,3,2,4,1,179.50659375,5,2,3,11,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110300401,,
1,11,3,2,4,1,179.50659375,6,2,3,2,0,,,,,,,," ",,," ",,,,,,,,,,110300401,,
1,11,3,2,4,1,179.50659375,2,2,2,35,1,1,1,1,2,1,1,," ",,," ",1,,,,,1,,,,110300401,,
1,11,3,2,4,1,179.50659375,4,2,3,14,1,1,2,1,7,1,2,," ",,," ",1,,,,,6,,,,110300401,,
1,11,3,2,5,1,1566.603,1,1,1,42,1,1,2,1,2,1,1,," ",,," ",1,,,,,4,1,1,,110300501,,
1,11,3,2,5,1,1566.603,3,2,3,12,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110300501,,
1,11,3,2,5,1,1566.603,5,2,3,2,0,,,,,,,," ",,," ",,,,,,,,,,110300501,,
1,11,3,2,5,1,1566.603,4,2,3,7,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110300501,,
1,11,3,2,5,1,1566.603,2,2,2,37,1,1,2,1,2,1,1,," ",,," ",1,,,,,2,,,,110300501,,
