"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
59,1,90.6259082417582,2,22,2,3,1,,,,,1,111,,2,1,1,1,2,0,,,,,111,0,,,,,111,,2,888,0,1,"0102",1,20000,0,0,1,,3,225900102,,
59,2,90.6259082417582,2,22,2,3,1,555,9,,,111,111,,2,1,1,0,3,0,,,,,,1,,,,,,,2,7,1,1,"01",1,16000,0,1,4,,3,225900202,,
59,8,90.6259082417582,2,22,2,3,2,,,1,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"02",2,,,0,2,,2,225900802,,
59,8,90.6259082417582,2,22,2,3,1,,,1,,7,1,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,20,1,1,"02",2,,,0,3,0,1,225900802,,
59,10,90.6259082417582,2,22,2,3,1,555,9,,,7,6,,3,1,1,0,3,0,,,,,,1,,,,,,,3,888,0,1,"01",1,15000,0,0,3,0,1,225901002,,
60,6,41.5805368421053,2,22,2,3,1,555,9,,,111,111,,2,1,1,0,3,0,,,,,,1,,,,,,,2,888,1,2,"0102",1,16000,0,0,5,,4,226000602,,
60,8,41.5805368421053,2,22,2,3,3,555,15,,,111,111,,2,0,3,1,2,0,,,,,,1,,,,,,,2,12,0,1,"01",1,10000,0,1,8,,2,226000802,,
60,8,41.5805368421053,2,22,2,3,2,555,15,,,111,111,,3,1,3,1,2,1,,,,,,1,,,,,,,2,20,0,1,"01",1,23000,0,1,12,,2,226000802,,
60,8,41.5805368421053,2,22,2,3,1,555,15,,,111,111,,3,0,3,1,2,1,,,,,,1,,,,,,,2,20,1,1,"01",1,12500,0,1,12,,2,226000802,,
60,14,131.6717,2,22,2,3,1,,,,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,9,"02",1,25000,0,1,3,,3,226001402,,
60,17,41.5805368421053,2,22,2,3,1,,,,,111,111,,2,1,1,1,2,0,,,,,111,0,,,,,111,,2,888,0,1,"02",1,30000,0,1,1,,3,226001702,,
61,1,32.6064994871795,2,22,2,3,1,,,,,5,1,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"02",1,29500,0,0,11,0,3,226100102,,
61,4,32.6064994871795,2,22,2,3,2,555,9,,,6,111,,1,0,1,0,1,0,,,,,,1,,,,,,,1,,,2,"01",1,7000,0,0,2,,3,226100402,,
61,4,32.6064994871795,2,22,2,3,1,555,9,,,111,111,,2,1,1,1,2,1,,,,,,1,,,,,,,2,7,1,1,"0102",1,24000,0,1,6,,3,226100402,,
61,8,32.6064994871795,2,22,2,3,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,25000,0,1,6,,555,226100802,,
