"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","H01","H02","MARKET_PRICE","H03","H04","H05","H06","H07","H07_OTHER","hhid","camp","ref_weight"
1,12,21,1,5,1,323.609451546392,1,"01",7500,0,0,0,0,1,,122100501,,
1,12,21,1,6,1,323.609451546392,,,,,,,,,,122100601,,
1,12,21,1,7,1,560.5378,,,,,,,,,,122100701,,
1,12,21,1,8,1,560.5378,,,,,,,,,,122100801,,
1,12,21,1,9,1,560.5378,,,,,,,,,,122100901,,
1,12,21,1,10,1,560.5378,,,,,,,,,,122101001,,
1,12,21,1,11,1,560.5378,,,,,,,,,,122101101,,
1,12,21,1,12,1,560.5378,,,,,,,,,,122101201,,
1,12,21,1,13,1,560.5378,,,,,,,,,,122101301,,
1,12,21,1,14,1,560.5378,,,,,,,,,,122101401,,
1,12,21,1,15,1,560.5378,,,,,,,,,,122101501,,
1,12,21,1,16,1,560.5378,,,,,,,,,,122101601,,
1,12,21,1,17,1,560.5378,,,,,,,,,,122101701,,
1,12,21,1,18,1,560.5378,,,,,,,,,,122101801,,
1,12,21,1,20,1,560.5378,2,"01",16000,1,,,,,,122102001,,
1,12,22,1,1,1,16.4555545454545,,,,,,,,,,122200101,,
1,12,22,1,2,1,16.4555545454545,2,"01",21000,1,,,,,,122200201,,
1,12,22,1,3,1,16.4555545454545,2,"01",16000,1,,,,,,122200301,,
1,12,22,1,4,1,16.4555545454545,,,,,,,,,,122200401,,
1,12,22,1,5,1,16.4555545454545,,,,,,,,,,122200501,,
1,12,22,1,6,1,362.0222,,,,,,,,,,122200601,,
1,12,22,1,7,1,362.0222,,,,,,,,,,122200701,,
1,12,22,1,8,1,362.0222,,,,,,,,,,122200801,,
1,12,22,1,9,1,362.0222,,,,,,,,,,122200901,,
1,12,22,1,10,1,362.0222,,,,,,,,,,122201001,,
1,12,22,1,11,1,362.0222,,,,,,,,,,122201101,,
1,12,22,1,12,1,362.0222,,,,,,,,,,122201201,,
1,12,22,1,13,1,16.4555545454545,2,"01",16000,1,,,,,,122201301,,
1,12,22,1,14,1,362.0222,,,,,,,,,,122201401,,
1,12,22,1,15,1,362.0222,,,,,,,,,,122201501,,
1,12,22,1,16,1,362.0222,,,,,,,,,,122201601,,
1,12,22,1,17,1,362.0222,,,,,,,,,,122201701,,
1,12,22,1,18,1,362.0222,,,,,,,,,,122201801,,
1,12,23,1,1,1,451.1577,,,,,,,,,,122300101,,
1,12,23,1,2,1,451.1577,,,,,,,,,,122300201,,
1,12,23,1,3,1,30.07718,1,"02",24600,0,0,0,0,1,,122300301,,
1,12,23,1,4,1,30.07718,,,,,,,,,,122300401,,
