"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","B01","B02","B02_OTHER","B03","B04","B05","B05_OTHER","B06_1","B06_2","B06_3","B06_4","B06_5","B06_OTHER","B07_1","B07_2","B07_3","B07_4","B07_OTHER","B08_01","B08_02","B08_03","B08_04","B08_05","B08_06","B08_07","B08_08","B08_09","B08_10","B08_11","B08_12","B08_13","B08_14","B08_15","B08_OTHER","B09","B10","B11_01","B11_02","B11_03","B11_04","B11_05","B11_06","B11_07","B11_08","B11_09","B11_10","B11_11","B11_12","B11_13","B11_OTHER","B12","B13","B14","hhid","camp","ref_weight"
1,11,7,1,18,1,191.7855,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,1,,,,,,,,3,2,110701801,,
1,11,8,1,1,1,709.7715,"01",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,2,1,110800101,,
1,11,8,1,2,1,709.7715,"03",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,1,,,,,,,,,,3,1,110800201,,
1,11,8,1,3,1,709.7715,"01",1,,,,5,,,,1,,,,,,111,,,,,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,,,,1,1,110800301,,
1,11,8,1,4,1,709.7715,"02",1,,,,5,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,3,2,110800401,,
1,11,8,1,5,1,709.7715,"01",1,,,,5,,1,,,,,,,,111,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,1,,,1,,,,,,,,2,1,110800501,,
1,11,8,1,6,1,709.7715,"02",1,,,,4,,1,,1,,,,,,111,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,1,,,1,,,,,,,,2,2,110800601,,
1,11,8,1,7,1,709.7715,"01",1,,,,4,,1,,,,,,,,111,,,1,,,,1,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,3,1,110800701,,
1,11,8,1,8,1,709.7715,"01",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,3,1,110800801,,
1,11,8,1,9,1,709.7715,"02",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,,,,,,,,3,1,110800901,,
1,11,8,1,10,1,709.7715,"01",1,,,,4,,1,,,,,,,,111,,,,,,,,,,,,,,,,,555,2,1,1,1,1,,,1,,,1,,,,,,,,3,1,110801001,,
1,11,8,1,11,1,709.7715,"03",1,,,,5,,1,,,,,,,,111,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,1,1,,1,,,1,,,,,3,2,110801101,,
1,11,8,1,12,1,709.7715,"02",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,1,,,,,2,2,110801201,,
1,11,8,1,13,1,709.7715,"01",1,,,,5,,1,,,,,,1,,111,,,,,,,,,,,,,,,,,555,2,1,1,1,1,,,1,,,1,,,,,,,,3,1,110801301,,
1,11,8,1,14,1,709.7715,"01",1,,,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,2,1,110801401,,
1,11,8,1,15,1,709.7715,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,3,1,110801501,,
1,11,8,1,16,1,709.7715,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,2,1,110801601,,
1,11,8,1,17,1,709.7715,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,,,,,,,,3,1,110801701,,
1,11,8,1,18,1,57.7326100478469,"02",7,,,,5,,,,,111,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,2,110801801,,
