"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","F02","F03","F03_OTHER1","F04","F04_OTHER","F05","F06","F07","F08A","F08B","F08_OTHER","F09_1","F09_2","F09_3","F09_4","F09_5","F09_6","F09_7","F09_8","F09_9","hhid","camp","ref_weight"
2,15,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201501,,
2,15,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201501,,
2,16,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110201601,,
2,16,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201601,,
2,16,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201601,,
2,16,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201601,,
2,16,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201601,,
2,18,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201801,,
2,18,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201801,,
2,18,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201801,,
2,18,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201801,,
2,18,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110201801,,
2,22,221.941,1,11,2,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110202201,,
2,22,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110202201,,
2,22,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110202201,,
2,22,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110202201,,
2,22,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110202201,,
3,1,179.50659375,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300101,,
3,1,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300101,,
3,1,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300101,,
3,1,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300101,,
3,1,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300101,,
3,2,179.50659375,1,11,2,1,3,1," ",1," ",2,30,3,111,111,,,,,,,,,,,110300201,,
3,2,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300201,,
3,2,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,111,110300201,,
3,2,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300201,,
3,2,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300201,,
3,3,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300301,,
3,3,1566.603,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300301,,
3,3,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300301,,
3,3,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300301,,
3,3,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300301,,
3,4,179.50659375,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300401,,
3,4,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300401,,
3,4,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300401,,
3,4,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300401,,
3,4,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300401,,
3,5,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300501,,
3,5,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300501,,
3,5,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300501,,
3,5,1566.603,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300501,,
3,5,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300501,,
3,6,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300601,,
3,6,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300601,,
3,6,179.50659375,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300601,,
3,6,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300601,,
3,6,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300601,,
3,7,179.50659375,1,11,2,1,2,1," ",1," ",2,30,3,5,4,,,,,,,,,,111,110300701,,
3,7,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300701,,
3,7,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300701,,
3,7,179.50659375,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300701,,
3,7,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300701,,
3,8,179.50659375,1,11,2,1,3,1," ",1," ",1,30,3,2,111,,,,,,,,,,,110300801,,
3,8,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300801,,
3,8,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300801,,
3,8,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300801,,
3,8,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300801,,
3,9,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110300901,,
3,9,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110300901,,
3,9,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110300901,,
3,9,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110300901,,
3,9,1566.603,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110300901,,
3,10,1566.603,1,11,2,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110301001,,
3,10,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301001,,
3,10,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301001,,
3,10,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301001,,
3,10,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301001,,
3,11,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301101,,
3,11,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301101,,
3,11,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301101,,
3,11,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301101,,
3,11,1566.603,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110301101,,
3,12,1566.603,1,11,2,1,1,1," ",," ",,1,1,5,111,,,,,,,,,,,110301201,,
3,12,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301201,,
3,12,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301201,,
3,12,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301201,,
3,12,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301201,,
3,13,1566.603,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110301301,,
3,13,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301301,,
3,13,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301301,,
3,13,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301301,,
3,13,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301301,,
3,14,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301401,,
3,14,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301401,,
3,14,179.50659375,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301401,,
3,14,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301401,,
3,14,179.50659375,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110301401,,
3,15,179.50659375,1,11,2,1,1,1," ",," ",,30,2,111,111,,,,,,,,,,,110301501,,
3,15,179.50659375,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301501,,
3,15,179.50659375,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301501,,
3,15,179.50659375,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301501,,
3,15,179.50659375,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301501,,
3,16,1566.603,1,11,2,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110301601,,
3,16,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301601,,
3,16,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301601,,
3,16,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301601,,
3,16,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301601,,
3,17,1566.603,1,11,2,1,1,1," ",," ",,1,1,4,111,,,,,,,,,,,110301701,,
3,17,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301701,,
3,17,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301701,,
3,17,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301701,,
3,17,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301701,,
3,18,1566.603,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110301801,,
3,18,1566.603,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110301801,,
3,18,1566.603,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110301801,,
3,18,1566.603,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110301801,,
3,18,1566.603,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110301801,,
4,1,262.5804,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110400101,,
4,1,262.5804,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110400101,,
4,1,262.5804,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110400101,,
4,1,262.5804,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110400101,,
4,1,262.5804,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110400101,,
4,2,262.5804,1,11,1,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110400201,,
4,2,262.5804,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110400201,,
4,2,262.5804,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110400201,,
4,2,262.5804,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110400201,,
4,2,262.5804,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110400201,,
4,3,262.5804,1,11,1,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110400301,,
4,3,262.5804,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110400301,,
4,3,262.5804,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110400301,,
4,3,262.5804,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110400301,,
4,3,262.5804,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110400301,,
4,4,262.5804,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110400401,,
4,4,262.5804,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110400401,,
4,4,262.5804,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110400401,,
4,4,262.5804,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110400401,,
4,4,262.5804,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110400401,,
4,5,262.5804,1,11,1,1,1,1," ",," ",,2,1,111,111,,,,,,,,,,,110400501,,
4,5,262.5804,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110400501,,
4,5,262.5804,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110400501,,
4,5,262.5804,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110400501,,
4,5,262.5804,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110400501,,
4,6,262.5804,1,11,1,1,1,1," ",," ",,1,1,4,111,,,,,,,,,,,110400601,,
4,6,262.5804,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110400601,,
