"Cluster","ED_ID","CI01","CI02","CI06","CI07","CI08","QE_C06A","QE_C06B","QE_C07","QE_C08","QE_C09","QE_C09A","Basicweight"
224,145,4,4,1,2,2,1,2,2021,0,3,1,10.216724137931
225,146,4,4,2,2,1,1,2,2022,350000,2,1,90.7926956521739
226,147,4,4,2,2,1,1,2,2022,888,3,1,129.102220588235
227,148,4,4,2,2,1,1,2,2018,200000,4,1,81.5528605263158
228,149,4,4,2,2,1,1,2,2022,250000,2,1,119.497333333333
229,150,4,5,1,2,1,1,2,2016,250000,3,1,8.65588105263158
229,151,4,5,1,2,2,1,2,2022,0,2,1,8.65588105263158
231,152,4,5,2,2,1,2,1,2021,0,1,0,73.3824504504504
231,152,4,5,2,2,1,1,2,2021,888,2,1,73.3824504504504
232,154,4,5,1,2,10,1,2,2020,300000,2,1,17.4207321917808
234,155,4,5,2,2,1,1,2,2021,888,2,1,76.9769217391304
235,156,4,5,2,2,1,1,2,1987,300000,5,1,190.598447368421
237,157,5,1,2,2,1,1,2,2020,300000,2,1,75.9446417910448
238,158,5,1,1,2,1,1,2,2021,250000,1,1,20.0439647058824
239,159,5,1,1,2,1,1,2,2021,250000,3,1,4.94822621359223
240,160,5,1,1,2,1,1,2,2015,300000,3,1,14.4773126760563
241,161,5,1,2,2,1,1,1,2021,0,2,1,119.70275862069
242,162,5,1,2,2,1,1,2,2021,250000,2,1,110.882382978723
243,163,5,2,2,2,1,1,2,2015,300000,4,1,119.53393373494
244,164,5,2,2,2,1,1,2,2017,300000,4,1,50.6682119205298
245,165,5,2,1,2,1,1,2,2015,250000,3,1,15.1000164383562
246,166,5,2,2,2,1,1,2,2021,250000,4,1,235.364968421053
247,167,5,2,1,2,1,1,2,1999,350000,5,1,5.48210979228487
250,168,5,2,2,2,1,1,2,2021,150000,4,1,61.0949142857143
251,169,5,2,1,2,1,1,1,2018,0,3,1,8.45871833333333
258,171,5,3,2,2,1,1,2,2018,300000,6,1,137.657460869565
264,172,5,3,1,2,3,1,1,2020,0,3,1,12.3318692307692
265,173,5,3,2,2,2,1,2,2022,300000,4,1,90.9270416666667
266,174,5,3,2,2,1,1,2,2017,250000,4,1,115.230054545455
267,175,5,3,1,2,1,1,1,2022,0,2,1,31.9791152777778
271,176,5,3,2,2,1,1,2,2020,0,1,1,61.146402640264
280,177,5,4,2,2,1,1,2,2021,350000,1,1,83.807
281,178,5,4,1,2,1,1,2,2019,176000,3,1,9.17697944785276
282,179,5,4,1,2,1,1,2,2018,888,1,1,9.30882887323944
283,180,5,4,1,2,2,1,2,2014,300000,1,1,13.2456640127389
285,181,5,4,2,2,2,1,2,2021,250000,2,1,79.18262625
286,182,5,4,2,2,1,1,2,2014,250000,3,1,133.014805369128
287,183,5,5,2,2,1,1,2,2021,350000,4,1,121.134436090226
289,185,5,5,2,2,1,1,2,2021,300000,2,1,160.181593984962
294,186,5,5,2,2,1,1,2,2015,350000,3,1,195.606
298,187,5,5,2,2,1,1,2,2015,300000,1,1,421.347619047619
308,188,5,6,2,2,1,1,2,2021,300000,1,1,65.4211258741259
308,188,5,6,2,2,1,2,1,2010,0,1,0,65.4211258741259
309,189,5,6,1,2,1,1,2,2018,350000,3,1,11.2610976744186
310,190,5,6,2,2,1,1,2,2021,350000,2,1,265.9455
311,191,5,6,2,2,1,1,2,2021,300000,2,1,110.668164383562
312,192,5,6,2,2,1,1,2,2021,0,2,1,188.315441860465
313,193,5,7,1,2,1,1,2,2010,0,4,1,16.9766382352941
314,194,5,7,2,2,1,1,2,2021,0,2,1,121.421042553191
315,195,5,7,2,2,1,1,2,2021,300000,3,1,161.408918918919
319,196,5,7,2,2,1,1,2,2016,0,4,1,156.04722972973
