hhid,Cluster,PROVINCE,HH_WT,Conn_Grid,m_R,Tier,Is_Urban,Accept_Cash
122600401,26,1,21.1679242236025,0,0.0,0,1,0
122600501,26,1,1310.783,1,0.9599912256345182,5,1,0
122600601,26,1,21.1679242236025,0,0.0,0,1,1
122600701,26,1,1310.783,1,1.0,5,1,0
122600801,26,1,1310.783,1,1.0,1,1,0
122600901,26,1,1310.783,1,1.0,2,1,1
122601001,26,1,1310.783,1,1.0,4,1,0
122601101,26,1,1310.783,1,1.0,4,1,0
122601201,26,1,1310.783,1,1.0,3,1,0
122601301,26,1,1310.783,1,0.9249999999999999,4,1,0
122601401,26,1,1310.783,1,0.9800826180324713,4,1,0
122601501,26,1,1310.783,1,1.0,4,1,0
122601601,26,1,21.1679242236025,0,0.0,4,1,0
122601701,26,1,1310.783,1,1.0,4,1,0
122601801,26,1,1310.783,1,1.0,4,1,0
122700101,27,1,44.69515,1,1.0,2,1,0
122700201,27,1,44.69515,1,1.0,4,1,0
122700301,27,1,4.94499531914893,0,0.0,0,1,1
122700401,27,1,44.69515,1,1.0,1,1,0
122700501,27,1,44.69515,1,1.0,4,1,0
122700601,27,1,4.94499531914893,0,0.0,0,1,1
122700701,27,1,44.69515,1,1.0,2,1,1
122700801,27,1,4.94499531914893,0,0.0,0,1,0
122700901,27,1,44.69515,1,1.0,4,1,0
122701001,27,1,4.94499531914893,0,0.0,0,1,1
122701101,27,1,4.94499531914893,0,0.0,2,1,0
122701201,27,1,44.69515,1,1.0,2,1,0
122701301,27,1,44.69515,1,1.0,5,1,0
122701401,27,1,44.69515,1,1.0,4,1,0
122701501,27,1,44.69515,1,0.9050826180324714,4,1,0
122701601,27,1,44.69515,1,1.0,1,1,0
122701701,27,1,44.69515,1,0.844247239296088,2,1,0
122701801,27,1,44.69515,1,1.0,1,1,0
122800101,28,1,724.7505,1,1.0,4,1,0
122800201,28,1,98.471535326087,0,0.0,0,1,0
122800301,28,1,98.471535326087,0,0.0,0,1,0
122800401,28,1,98.471535326087,0,0.0,2,1,0
122800501,28,1,98.471535326087,0,0.0,0,1,0
122800601,28,1,724.7505,1,1.0,2,1,0
122800701,28,1,724.7505,1,1.0,2,1,0
122800801,28,1,98.471535326087,0,0.0,0,1,0
122800901,28,1,98.471535326087,0,0.0,0,1,0
122801001,28,1,98.471535326087,0,0.0,0,1,0
122801101,28,1,98.471535326087,0,0.0,0,1,0
122801201,28,1,724.7505,1,0.8776786390680325,4,1,0
122801301,28,1,724.7505,1,1.0,2,1,0
122801401,28,1,724.7505,1,1.0,4,1,0
122801501,28,1,724.7505,1,1.0,2,1,0
122801601,28,1,724.7505,1,1.0,1,1,0
122801701,28,1,724.7505,1,0.9800826180324713,2,1,0
122801801,28,1,724.7505,1,0.9800826180324713,1,1,1
122900101,29,1,467.7392,1,1.0,4,1,0
122900201,29,1,467.7392,1,1.0,2,1,0
122900301,29,1,467.7392,1,1.0,1,1,0
122900401,29,1,467.7392,1,1.0,2,1,0
122900501,29,1,467.7392,1,1.0,5,1,0
122900601,29,1,467.7392,1,1.0,1,1,0
122900701,29,1,467.7392,1,1.0,1,1,0
122900801,29,1,467.7392,1,1.0,2,1,0
122900901,29,1,467.7392,1,1.0,4,1,0
122901001,29,1,467.7392,1,1.0,2,1,0
122901101,29,1,467.7392,1,0.760173802575087,4,1,0
122901201,29,1,467.7392,1,1.0,2,1,0
122901301,29,1,467.7392,1,1.0,4,1,0
122901401,29,1,467.7392,1,1.0,1,1,0
122901501,29,1,467.7392,1,1.0,2,1,0
122901601,29,1,467.7392,1,0.9862364562050345,2,1,0
122901701,29,1,467.7392,1,1.0,2,1,0
122901801,29,1,467.7392,1,1.0,2,1,0
123000101,30,1,396.838,1,0.8135272020419626,2,0,0
123000201,30,1,396.838,1,1.0,1,0,0
123000301,30,1,673.532385321101,0,0.0,0,0,0
123000401,30,1,396.838,1,0.9800826180324713,1,0,0
