Cluster,m_R_avg,access_rate,share_tier_ge2,pop_weight,Is_Urban
183,0.07032486352485284,0.07079646017699129,0.12492816917595685,16067.27648749997,0.0
184,0.0,0.0,0.27777777777777773,27722.052000000003,0.0
185,0.63179689012139,0.6428571428571427,0.5873015873015872,1263.6761200000003,1.0
186,0.43283582089552236,0.43283582089552236,0.39174258577243654,14420.41254137931,0.0
187,0.6869731178212315,0.7675442106105469,0.38209170200848214,5624.723423509172,1.0
188,0.009122674740326632,0.010309278350515474,0.12886597938144329,25276.356000000007,0.0
189,0.9705642478721923,1.0,0.9444444444444444,4607.694,1.0
190,0.748508001031073,0.7630057803468208,0.25852601156069366,20568.25833333333,0.0
191,0.9490908702171461,0.9814814814814814,0.7197530864197531,3072.380433962264,1.0
192,0.7902290796781117,0.8128342245989302,0.3612596553773023,5190.778355921055,1.0
193,0.5598746106236953,0.6035502958579887,0.10059171597633142,39531.247294117624,0.0
194,0.4960926075044946,0.5208333333333335,0.3402777777777778,23012.93952,0.0
195,0.5343078639049179,0.5785440613026817,0.2479474548440064,20655.35297880796,0.0
196,0.5776896390189361,0.6369426751592357,0.3184713375796178,41852.4006,0.0
197,0.44718481451547004,0.48148148148148057,0.23240740740740715,21568.962461538504,0.0
198,0.3657230623215807,0.39118065433854965,0.19345661450924614,20996.33994909088,0.0
199,0.19410837521538868,0.19607843137254902,0.19934640522875816,18894.138300000002,0.0
200,0.38121438132833835,0.39666666666666617,0.49861111111111095,22896.56268907566,0.0
201,0.5220599780995524,0.5761589403973513,0.37890255439924325,9829.246068965513,0.0
202,0.40912198424802876,0.4212218649517686,0.6491604144337263,2999.5643748091593,1.0
203,0.16279069767441867,0.16279069767441867,0.24623803009575923,15055.940142857136,0.0
204,0.2184032941746222,0.22815533980582536,0.35868392664509186,18187.168021276586,0.0
205,0.0,0.0,0.2777777777777778,22803.354,0.0
206,0.590157020234138,0.6,0.5012987012987014,22324.995,0.0
207,0.8835787239362788,0.925287356321839,0.4195402298850575,26413.439925465842,0.0
208,0.8726028284985338,0.909604519774011,0.5444273240883409,2122.0884000000005,1.0
209,0.8155691399297597,0.847244094488189,0.3765529308836396,4291.07588197026,1.0
210,0.7344764066856295,0.7400530503978777,0.5839227821986441,19680.30804301076,0.0
211,0.9127364438839848,0.9180327868852458,0.7767969735182848,4594.382858928572,1.0
212,0.9569730539104895,0.9861751152073733,0.8452929558920342,2661.4739710280373,1.0
213,0.5844251077730931,0.6472868217054263,0.3677325581395348,20696.80634730539,0.0
214,0.7082958828881837,0.7264957264957264,0.5029585798816567,1422.5080923529415,1.0
215,0.9886395501432698,0.9953632148377126,0.8782616601509229,3333.460439906832,1.0
216,0.973295128255422,1.0,1.0,2316.6954,1.0
217,0.9630431675378953,0.9877551020408164,0.9321428571428572,1265.9534710743803,1.0
218,0.980316820807971,0.9950248756218902,0.9950248756218902,2431.202736,1.0
219,0.0,0.0,0.22222222222222224,25221.816,0.0
220,0.3344262295081962,0.3344262295081962,0.3003278688524588,2342.9652666666702,1.0
221,0.5296121836355021,0.5583756345177666,0.3343908629441625,3136.363572727272,1.0
222,0.820266727899197,0.8736263736263735,0.40769230769230763,18623.424716981135,0.0
223,0.32128546323057083,0.3333333333333333,0.18518518518518517,30258.306000000004,0.0
224,0.9396761004995278,0.9579579579579582,0.18018018018018023,1701.0845689655168,1.0
225,0.0,0.0,0.33333333333333326,18794.088000000003,0.0
226,0.8814966831461274,0.9379310344827585,0.632183908045977,18719.82198529412,0.0
227,0.301663869173002,0.3261802575107299,0.3648068669527899,19001.816502631562,0.0
228,0.8487496844260902,0.8823529411764705,0.03529411764705887,20314.54666666667,0.0
229,0.842833636572391,0.9047619047619047,0.4126984126984126,2726.6025315789475,1.0
230,0.8247270577633393,0.8280254777070064,0.49681528662420377,2984.8290500000003,1.0
231,0.3456833548127782,0.37000000000000033,0.21584415584415595,22014.735135135117,0.0
232,0.9121406316212324,0.929936305732484,0.29372156505914465,2735.0549541095893,1.0
233,0.0,0.0,0.16666666666666669,35029.763999999996,0.0
234,0.0,0.0,0.16666666666666669,26557.038,0.0
235,0.4887779728230734,0.524137931034483,0.46839080459770127,27636.77486842104,0.0
236,0.6992133395807346,0.7208121827411168,0.6432197244379986,18414.942640845064,0.0
237,0.7729476194800958,0.7851562499999999,0.37282986111111105,19441.828298507466,0.0
238,0.7688451657404347,0.784615384615384,0.6164835164835158,2605.7154117647083,1.0
239,0.8992136088426174,0.9229390681003583,0.7383512544802868,2761.110227184466,1.0
240,0.7462696841162215,0.7553191489361707,0.5045826513911621,2721.73478309859,1.0
241,0.7499080322888739,0.7891156462585034,0.10186412227228553,17596.305517241377,0.0
242,0.2764705882352941,0.2764705882352941,0.46575630252100836,18850.00510638298,0.0
243,0.6643171773671316,0.6747967479674789,0.14995483288166198,29405.347698795216,0.0
244,0.0,0.0,0.611111111111111,30603.600000000002,0.0
245,0.9549535377274605,0.9798657718120806,0.9044914816726897,4499.804898630137,1.0
246,0.85281970700239,0.8636363636363636,0.22222222222222224,25890.146526315788,0.0
247,0.7540361559267419,0.7659090909090908,0.7005113636363636,2412.1283086053418,1.0
248,0.45698474792316646,0.4590163934426229,0.25500910746812383,28734.797250000003,0.0
249,0.9802625221533307,1.0,0.8333333333333333,2023.0704,1.0
250,0.0,0.0,0.5555555555555556,19244.898,0.0
251,0.28417231614358784,0.2955665024630539,0.27515833919774785,3434.239643333337,1.0
252,0.7132431199802396,0.7184466019417476,0.21107048291514308,1820.2517716216216,1.0
253,0.3861085090519489,0.39130434782608675,0.1623188405797102,415.0128433333335,0.0
254,0.7418056512631088,0.7568807339449539,0.0715056664867783,1224.8746181818185,0.0
255,0.6468791667281962,0.6595744680851064,0.24734042553191493,1320.5411096774192,0.0
256,0.8278875437504707,0.8510638297872339,0.4441489361702127,1609.8451750000004,0.0
257,0.21737653598922058,0.2413793103448276,0.25689655172413794,1498.75016,0.0
258,0.7546953133830052,0.756578947368421,0.4026315789473684,20923.934052173914,0.0
259,0.0,0.0,0.1111111111111111,2298.9834,0.0
260,0.0,0.0,0.1111111111111111,1540.4751,0.0
261,0.33174687683130194,0.37242472266244064,0.2698890649762283,1236.298698723404,0.0
262,0.0,0.0,0.058823529411764705,1318.20278,0.0
263,0.0,0.0,0.2222222222222222,1322.49726,0.0
264,0.858085808580858,0.858085808580858,0.4767143381004767,3736.556376923077,1.0
265,0.25644144231773186,0.27586206896551724,0.13793103448275862,7910.652625,0.0
266,0.46349084907015065,0.47413793103448315,0.1832736229287954,26733.372654545434,0.0
267,0.9157760425260312,0.9230769230769231,0.5680473372781065,2494.3709916666667,1.0
268,0.8794303837613973,0.903846153846154,0.8633241758241759,1288.1591353191486,1.0
269,0.0,0.0,0.16666666666666669,1285.29162,0.0
270,0.6371681415929206,0.6371681415929206,0.3455752212389381,1188.9685791666664,0.0
271,0.56070672579978,0.8347107438016528,0.029168692270296587,22196.144158415846,0.0
272,0.0,0.0,0.16666666666666663,333.9999961853023,0.0
273,0.0,0.0,0.0,333.9999961853023,0.0
274,0.0,0.0,0.16666666666666663,333.9999961853023,0.0
275,0.0,0.0,0.16666666666666663,333.9999961853023,0.0
276,0.0,0.0,0.11111111111111109,333.9999961853023,0.0
277,0.0,0.0,0.22222222222222218,333.9999961853023,0.0
278,0.0,0.0,0.11111111111111109,333.9999961853023,0.0
279,0.0,0.0,0.055555555555555546,333.9999961853023,0.0
280,0.7327747854097414,0.7499999999999999,0.44999999999999996,20113.680000000004,0.0
281,0.8964455130174271,0.8980716253443527,0.5481020357053417,3331.2435395705515,1.0
282,0.9336974658833579,0.953020134228188,0.6727200947493092,2774.0310042253523,1.0
283,0.9698063399501403,0.9812500000000002,0.5295833333333334,4238.612484076432,1.0
284,0.7231787781327549,0.7710843373493977,0.3304647160068847,8822.57578125,0.0
285,0.5902871532345506,0.5970149253731343,0.0,21220.943835,0.0
286,0.0,0.0,0.2777777777777778,19819.206,0.0
287,0.8500201612903227,0.8580645161290323,0.550483870967742,18775.83759398496,0.0
288,0.9134259067991034,0.9221789883268483,0.563035019455253,2400.9265316455694,1.0
289,0.0,0.0,0.11111111111111113,21304.152,0.0
290,0.7738867901990265,0.8103448275862065,0.44310344827586196,743.7191421276599,0.0
291,0.5304791724715514,0.5528846153846153,0.44350961538461536,1070.9569113043478,0.0
292,0.9426856112419217,1.0,0.5555555555555555,447.7627800000001,0.0
293,0.9238148707310729,0.97,0.19400000000000003,688.0206185567009,0.0
294,0.7519974757562776,0.7819548872180451,0.22222222222222224,26015.597999999998,0.0
295,0.8268788585234276,0.8296296296296298,0.1111111111111111,739.3393245535714,0.0
296,0.8374873857992553,0.9299999999999999,0.17909090909090908,795.9126881720431,0.0
297,0.4910058380349943,0.4931880108991828,0.4579019073569484,860.7628138121544,0.0
298,0.7501545195406426,0.7924528301886793,0.15849056603773584,22331.42380952381,0.0
299,0.0,0.0,0.05555555555555555,1908.616470336918,0.0
300,0.04148543114508988,0.05555555555555555,0.05555555555555555,1908.616470336918,0.0
301,0.0,0.0,0.0,1908.616470336918,0.0
302,0.0,0.0,0.1111111111111111,1908.616470336918,0.0
303,0.0,0.0,0.0,1908.616470336918,0.0
304,0.0,0.0,0.05555555555555555,1908.616470336918,0.0
305,0.0,0.0,0.0,1272.4109802246119,0.0
